Gene_symbol	Disorder_name	Disorder_OrphaNumber	Association_type	Gene_symbol:1	Association_status	Gene_alternate_IDs
SPG34	X-linked_spastic_paraplegia_type_34	171607	Disease-causing_germline_mutation(s)_in	SPG34	Assessed	32944
SPG37	Autosomal_dominant_spastic_paraplegia_type_37	171612	Disease-causing_germline_mutation(s)_in	SPG37	Assessed	33472
SPG38	Autosomal_dominant_spastic_paraplegia_type_38	171617	Disease-causing_germline_mutation(s)_in	SPG38	Assessed	33485
SPG32	Autosomal_recessive_spastic_paraplegia_type_32	171622	Disease-causing_germline_mutation(s)_in	SPG32	Assessed	SPG29,32314
GINGF2	Hereditary_gingival_fibromatosis	2024	Candidate_gene_tested_in	GINGF2	Not_yet_assessed	HGF2,GGF2,14252
HELLPAR	HELLP_syndrome	244242	Major_susceptibility_factor_in	HELLPAR	Assessed	Long_intergenic_non-protein_coding_RNA_associated_with_HELLP_syndrome,614985,43984,LINC-HELLP,ENSG00000281344
SCA32	Spinocerebellar_ataxia_type_32	276183	Disease-causing_germline_mutation(s)_in	SCA32	Assessed	37475
SCA30	Spinocerebellar_ataxia_type_30	211017	Disease-causing_germline_mutation(s)_in	SCA30	Assessed	33445
USH1K	Usher_syndrome_type_1	231169	Disease-causing_germline_mutation(s)_in	USH1K	Assessed	43724
USH1E	Usher_syndrome_type_1	231169	Disease-causing_germline_mutation(s)_in	USH1E	Assessed	12599
USH1H	Usher_syndrome_type_1	231169	Disease-causing_germline_mutation(s)_in	USH1H	Assessed	22433
SPG41	Autosomal_dominant_spastic_paraplegia_type_41	320355	Disease-causing_germline_mutation(s)_in	SPG41	Assessed	34382,613364
SPG36	Autosomal_dominant_spastic_paraplegia_type_36	320365	Disease-causing_germline_mutation(s)_in	SPG36	Assessed	33240
DYT17	Primary_dystonia,_DYT17_type	370103	Disease-causing_germline_mutation(s)_in	DYT17	Assessed	35416
SCA37	Spinocerebellar_ataxia_type_37	363710	Disease-causing_germline_mutation(s)_in	SCA37	Assessed	43726
DYT21	Primary_dystonia,_DYT21_type	306734	Disease-causing_germline_mutation(s)_in	DYT21	Assessed	39436
KIF1BP	Goldberg-Shprintzen_megacolon_syndrome	66629	Disease-causing_germline_mutation(s)_(loss_of_function)_in	KIF1BP	Assessed	KBP,Q96EK5,ENSG00000198954,DKFZP586B0923,KIF1BP,609367,23419,TTC20,kinesin_binding_protein
DHS6S1	North_Carolina_macular_dystrophy	75327	Disease-causing_germline_mutation(s)_in	DHS6S1	Assessed	616842
DYT15	Myoclonus-dystonia_syndrome	36899	Role_in_the_phenotype_of	DYT15	Assessed	31376
DYT13	Primary_dystonia,_DYT13_type	98807	Disease-causing_germline_mutation(s)_in	DYT13	Assessed	3101
OPA2	Early-onset_X-linked_optic_atrophy	98890	Disease-causing_germline_mutation(s)_in	OPA2	Assessed	8141
ATXN8	Spinocerebellar_ataxia_type_8	98760	Disease-causing_germline_mutation(s)_in	ATXN8	Assessed	Q156A1,ATXN8,32925,613289
SCA25	Spinocerebellar_ataxia_type_25	101111	Disease-causing_germline_mutation(s)_in	SCA25	Assessed	20684
SCA20	Spinocerebellar_ataxia_type_20	101110	Disease-causing_germline_mutation(s)_in	SCA20	Assessed	17204
SPG29	Autosomal_dominant_spastic_paraplegia_type_29	101009	Disease-causing_germline_mutation(s)_in	SPG29	Assessed	30161
SPG19	Autosomal_dominant_spastic_paraplegia_type_19	100999	Disease-causing_germline_mutation(s)_in	SPG19	Assessed	16706
SPG16	X-linked_spastic_paraplegia_type_16	100997	Disease-causing_germline_mutation(s)_in	SPG16	Assessed	14260
SPG14	Autosomal_recessive_spastic_paraplegia_type_14	100995	Disease-causing_germline_mutation(s)_in	SPG14	Assessed	13730
SPG27	Autosomal_recessive_spastic_paraplegia_type_27	101007	Disease-causing_germline_mutation(s)_in	SPG27	Assessed	26071
SPG25	Autosomal_recessive_spastic_paraplegia_type_25	101005	Disease-causing_germline_mutation(s)_in	SPG25	Assessed	25855
SPG23	Autosomal_recessive_spastic_paraplegia_type_23	101003	Disease-causing_germline_mutation(s)_in	SPG23	Assessed	21340
SPG24	Autosomal_recessive_spastic_paraplegia_type_24	101004	Disease-causing_germline_mutation(s)_in	SPG24	Assessed	22993
FMR3	FRAXE_intellectual_disability	100973	Disease-causing_germline_mutation(s)_in	FMR3	Assessed	FMR3,3777
SLC7A2-IT1	Ravine_syndrome	99852	Disease-causing_germline_mutation(s)_in	SLC7A2-IT1	Assessed	
